Mental Illness,Clinical Definition
Major Depressive Disorder,"A mood disorder characterized by persistent sadness, loss of interest, and impaired daily functioning."
Generalized Anxiety Disorder,"A condition involving excessive, uncontrollable worry about various aspects of life."
Bipolar I Disorder,A disorder marked by episodes of mania and often episodes of depression.
Bipolar II Disorder,A disorder involving hypomanic episodes and major depressive episodes.
Panic Disorder,"A condition characterized by recurrent, unexpected panic attacks and ongoing fear of future attacks."
Social Anxiety Disorder,A persistent fear of social or performance situations where embarrassment may occur.
Specific Phobia,"An intense, irrational fear of a specific object or situation."
Obsessive-Compulsive Disorder,A disorder featuring intrusive thoughts (obsessions) and repetitive behaviors (compulsions).
Post-Traumatic Stress Disorder,A condition triggered by experiencing or witnessing a traumatic event.
Acute Stress Disorder,A short-term condition following trauma involving intrusive symptoms and avoidance.
"ADHD, Combined Type",A neurodevelopmental disorder involving both inattention and hyperactivity-impulsivity.
"ADHD, Inattentive Type",A subtype characterized primarily by inattention and difficulty sustaining focus.
"ADHD, Hyperactive-Impulsive Type",A subtype involving high activity levels and impulsive behaviors.
Autism Spectrum Disorder,"A developmental disorder affecting communication, behavior, and social interaction."
Borderline Personality Disorder,"A personality disorder marked by instability in relationships, emotions, and self-image."
Antisocial Personality Disorder,"A pattern of violating others’ rights, lack of remorse, and disregard for norms."
Avoidant Personality Disorder,A disorder marked by social inhibition and feelings of inadequacy.
Narcissistic Personality Disorder,"A condition involving grandiosity, need for admiration, and lack of empathy."
Histrionic Personality Disorder,A pattern of excessive emotionality and attention-seeking.
Schizophrenia,"A psychotic disorder involving hallucinations, delusions, and disorganized thinking."
Schizoaffective Disorder,A disorder featuring symptoms of schizophrenia along with mood episodes.
Delusional Disorder,"A condition involving persistent, non-bizarre delusions without other psychotic symptoms."
Anorexia Nervosa,An eating disorder involving restriction of food intake and fear of gaining weight.
Bulimia Nervosa,A disorder involving binge eating followed by compensatory behaviors.
Binge Eating Disorder,A condition marked by recurrent episodes of excessive food consumption without purging.
Body Dysmorphic Disorder,A preoccupation with perceived flaws in physical appearance.
Insomnia Disorder,Difficulty initiating or maintaining sleep causing distress or impairment.
Hypersomnolence Disorder,Excessive daytime sleepiness despite adequate sleep duration.
Narcolepsy,A neurological disorder causing sudden sleep attacks and excessive daytime sleepiness.
Substance Use Disorder (Alcohol),A problematic pattern of alcohol use leading to impairment or distress.
Substance Use Disorder (Opioids),A pattern of opioid misuse causing significant impairment.
Substance Use Disorder (Stimulants),A disorder involving problematic stimulant use such as cocaine or amphetamines.
Somatic Symptom Disorder,Excessive thoughts or behaviors related to physical symptoms.
Illness Anxiety Disorder,Preoccupation with having or acquiring a serious illness.
Conversion Disorder,"Neurological symptoms incompatible with medical conditions, linked to psychological factors."
Dissociative Identity Disorder,A condition with two or more distinct personality states and memory gaps.
Depersonalization/Derealization Disorder,Experiences of detachment from self or reality.
Adjustment Disorder,Emotional or behavioral symptoms in response to identifiable stressors.
Conduct Disorder,"A repetitive pattern of violating rules, norms, or the rights of others."
Oppositional Defiant Disorder,"A pattern of angry, defiant, and argumentative behavior toward authority."
Persistent Depressive Disorder,A chronic form of depression lasting at least two years.
Cyclothymic Disorder,Chronic fluctuating mood disturbances involving hypomanic and depressive symptoms.
Hoarding Disorder,Difficulty discarding possessions regardless of actual value.
Trichotillomania,Recurrent pulling out of one’s hair leading to hair loss.
Excoriation Disorder,Recurrent skin picking resulting in lesions.
Reactive Attachment Disorder,A childhood disorder involving inhibited and emotionally withdrawn behavior.
Disinhibited Social Engagement Disorder,A pattern of overly familiar behavior with unfamiliar adults in children.
Gender Dysphoria,Distress due to incongruence between experienced gender and assigned sex.
Paranoid Personality Disorder,A pattern of distrust and suspiciousness of others.
Schizoid Personality Disorder,A condition marked by detachment from social relationships and limited emotion.
